,English Name,Scientific Name,SoIB 2023 Priority Status,Order,Family,Endemicity,Habitat Specialization,IUCN Category,CITES Appendix,source
0,Fulvous Whistling Duck,Dendrocygna bicolor,Low,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Least Concern,,West_Bengal
1,Lesser Whistling Duck,Dendrocygna javanica,Low,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Least Concern,,West_Bengal
2,Bar-headed Goose,Anser indicus,Moderate,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Least Concern,,West_Bengal
3,Greylag Goose,Anser anser,Low,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Least Concern,,West_Bengal
4,Knob-billed Duck,Sarkidiornis melanotos,Low,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Least Concern,Appendix II,West_Bengal
5,Ruddy Shelduck,Tadorna ferruginea,High,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Least Concern,,West_Bengal
6,Cotton Pygmy Goose,Nettapus coromandelianus,Moderate,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Least Concern,,West_Bengal
7,Garganey,Spatula querquedula,High,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Least Concern,,West_Bengal
8,Northern Shoveler,Spatula clypeata,High,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Least Concern,,West_Bengal
9,Gadwall,Mareca strepera,Moderate,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Least Concern,,West_Bengal
10,Falcated Duck,Mareca falcata,Moderate,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Near Threatened,,West_Bengal
11,Eurasian Wigeon,Mareca penelope,Moderate,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Least Concern,,West_Bengal
12,Indian Spot-billed Duck,Anas poecilorhyncha,Low,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Least Concern,,West_Bengal
13,Mallard,Anas platyrhynchos,Low,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Least Concern,,West_Bengal
14,Northern Pintail,Anas acuta,High,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Least Concern,,West_Bengal
15,Common Teal,Anas crecca,High,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Least Concern,,West_Bengal
16,Red-crested Pochard,Netta rufina,Low,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Least Concern,,West_Bengal
17,Common Pochard,Aythya ferina,High,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Vulnerable,,West_Bengal
18,Ferruginous Duck,Aythya nyroca,Moderate,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Near Threatened,,West_Bengal
19,Tufted Duck,Aythya fuligula,High,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Least Concern,,West_Bengal
20,Common Merganser,Mergus merganser,High,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Non-endemic,Wetland,Least Concern,,West_Bengal
21,Hill Partridge,Arborophila torqueola,Low,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Himalayas,Forest,Least Concern,,West_Bengal
22,Chestnut-breasted Partridge,Arborophila mandellii,Moderate,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Eastern Himalayas,Forest,Near Threatened,,West_Bengal
23,Rufous-throated Partridge,Arborophila rufogularis,Low,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Non-endemic,Forest,Least Concern,,West_Bengal
24,Blood Pheasant,Ithaginis cruentus,High,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Non-endemic,Forest,Least Concern,Appendix II,West_Bengal
25,Satyr Tragopan,Tragopan satyra,Moderate,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Indian Subcontinent,Forest,Near Threatened,,West_Bengal
26,Kalij Pheasant,Lophura leucomelanos,Low,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Non-endemic,Forest,Least Concern,,West_Bengal
27,Indian Peafowl,Pavo cristatus,Low,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Indian Subcontinent,Non-specialized,Least Concern,,West_Bengal
28,Painted Spurfowl,Galloperdix lunulata,Low,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Mainland India,Forest & Plantation,Least Concern,,West_Bengal
29,Grey Peacock Pheasant,Polyplectron bicalcaratum,Moderate,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Non-endemic,Forest,Least Concern,Appendix II,West_Bengal
30,Red Junglefowl,Gallus gallus,Low,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Non-endemic,Forest,Least Concern,,West_Bengal
31,Grey Francolin,Ortygornis pondicerianus,Low,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Non-endemic,Open Habitat,Least Concern,,West_Bengal
32,Black Francolin,Francolinus francolinus,Low,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Non-endemic,Open Habitat,Least Concern,,West_Bengal
33,Jungle Bush Quail,Perdicula asiatica,Low,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Indian Subcontinent,Grassland & Scrub,Least Concern,,West_Bengal
34,Little Grebe,Tachybaptus ruficollis,Low,Podicipediformes,Podicipedidae (Grebes),Non-endemic,Wetland,Least Concern,,West_Bengal
35,Great Crested Grebe,Podiceps cristatus,High,Podicipediformes,Podicipedidae (Grebes),Non-endemic,Wetland,Least Concern,,West_Bengal
36,Rock Pigeon,Columba livia,Low,Columbiformes,Columbidae (Pigeons and Doves),Non-endemic,Non-specialized,Least Concern,,West_Bengal
37,Speckled Wood Pigeon,Columba hodgsonii,Moderate,Columbiformes,Columbidae (Pigeons and Doves),Non-endemic,Forest,Least Concern,,West_Bengal
38,Ashy Wood Pigeon,Columba pulchricollis,Moderate,Columbiformes,Columbidae (Pigeons and Doves),Non-endemic,Forest,Least Concern,,West_Bengal
39,Pale-capped Pigeon,Columba punicea,High,Columbiformes,Columbidae (Pigeons and Doves),Non-endemic,Forest & Plantation,Vulnerable,,West_Bengal
40,Oriental Turtle Dove,Streptopelia orientalis,Low,Columbiformes,Columbidae (Pigeons and Doves),Non-endemic,Non-specialized,Least Concern,,West_Bengal
41,Eurasian Collared Dove,Streptopelia decaocto,Low,Columbiformes,Columbidae (Pigeons and Doves),Non-endemic,Non-specialized,Least Concern,,West_Bengal
42,Red Collared Dove,Streptopelia tranquebarica,Low,Columbiformes,Columbidae (Pigeons and Doves),Non-endemic,Non-specialized,Least Concern,,West_Bengal
43,Spotted Dove,Spilopelia chinensis,Low,Columbiformes,Columbidae (Pigeons and Doves),Non-endemic,Non-specialized,Least Concern,,West_Bengal
44,Laughing Dove,Spilopelia senegalensis,Low,Columbiformes,Columbidae (Pigeons and Doves),Non-endemic,Non-specialized,Least Concern,,West_Bengal
45,Barred Cuckoo Dove,Macropygia unchall,Low,Columbiformes,Columbidae (Pigeons and Doves),Non-endemic,Forest,Least Concern,,West_Bengal
46,Asian Emerald Dove,Chalcophaps indica,Low,Columbiformes,Columbidae (Pigeons and Doves),Non-endemic,Forest,Least Concern,,West_Bengal
47,Orange-breasted Green Pigeon,Treron bicinctus,Moderate,Columbiformes,Columbidae (Pigeons and Doves),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
48,Ashy-headed Green Pigeon,Treron phayrei,Moderate,Columbiformes,Columbidae (Pigeons and Doves),Non-endemic,Forest,Near Threatened,,West_Bengal
49,Thick-billed Green Pigeon,Treron curvirostra,Low,Columbiformes,Columbidae (Pigeons and Doves),Non-endemic,Forest,Least Concern,,West_Bengal
50,Yellow-footed Green Pigeon,Treron phoenicopterus,Low,Columbiformes,Columbidae (Pigeons and Doves),Non-endemic,Non-specialized,Least Concern,,West_Bengal
51,Pin-tailed Green Pigeon,Treron apicauda,Low,Columbiformes,Columbidae (Pigeons and Doves),Non-endemic,Forest,Least Concern,,West_Bengal
52,Wedge-tailed Green Pigeon,Treron sphenurus,Low,Columbiformes,Columbidae (Pigeons and Doves),Non-endemic,Forest,Least Concern,,West_Bengal
53,Green Imperial Pigeon,Ducula aenea,Low,Columbiformes,Columbidae (Pigeons and Doves),Non-endemic,Forest,Near Threatened,,West_Bengal
54,Mountain Imperial Pigeon,Ducula badia,Low,Columbiformes,Columbidae (Pigeons and Doves),Non-endemic,Forest,Least Concern,,West_Bengal
55,Lesser Florican,Sypheotides indicus,High,Otidiformes,Otididae (Bustards),Indian Subcontinent,Grassland,Critically Endangered,Appendix II,West_Bengal
56,Greater Coucal,Centropus sinensis,Low,Cuculiformes,Cuculidae (Cuckoos),Non-endemic,Non-specialized,Least Concern,,West_Bengal
57,Lesser Coucal,Centropus bengalensis,Low,Cuculiformes,Cuculidae (Cuckoos),Non-endemic,Wetland,Least Concern,,West_Bengal
58,Sirkeer Malkoha,Taccocua leschenaultii,High,Cuculiformes,Cuculidae (Cuckoos),Indian Subcontinent,Forest,Least Concern,,West_Bengal
59,Green-billed Malkoha,Phaenicophaeus tristis,Low,Cuculiformes,Cuculidae (Cuckoos),Non-endemic,Forest,Least Concern,,West_Bengal
60,Chestnut-winged Cuckoo,Clamator coromandus,Moderate,Cuculiformes,Cuculidae (Cuckoos),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
61,Pied Cuckoo,Clamator jacobinus,Low,Cuculiformes,Cuculidae (Cuckoos),Non-endemic,Non-specialized,Least Concern,,West_Bengal
62,Asian Koel,Eudynamys scolopaceus,Low,Cuculiformes,Cuculidae (Cuckoos),Non-endemic,Non-specialized,Least Concern,,West_Bengal
63,Asian Emerald Cuckoo,Chrysococcyx maculatus,Moderate,Cuculiformes,Cuculidae (Cuckoos),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
64,Banded Bay Cuckoo,Cacomantis sonneratii,Moderate,Cuculiformes,Cuculidae (Cuckoos),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
65,Plaintive Cuckoo,Cacomantis merulinus,Low,Cuculiformes,Cuculidae (Cuckoos),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
66,Grey-bellied Cuckoo,Cacomantis passerinus,Low,Cuculiformes,Cuculidae (Cuckoos),Indian Subcontinent,Non-specialized,Least Concern,,West_Bengal
67,Fork-tailed Drongo Cuckoo,Surniculus dicruroides,Low,Cuculiformes,Cuculidae (Cuckoos),Indian Subcontinent,Forest & Plantation,Least Concern,,West_Bengal
68,Square-tailed Drongo Cuckoo,Surniculus lugubris,Low,Cuculiformes,Cuculidae (Cuckoos),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
69,Large Hawk Cuckoo,Hierococcyx sparverioides,Low,Cuculiformes,Cuculidae (Cuckoos),Non-endemic,Forest,Least Concern,,West_Bengal
70,Common Hawk Cuckoo,Hierococcyx varius,Low,Cuculiformes,Cuculidae (Cuckoos),Indian Subcontinent,Forest & Plantation,Least Concern,,West_Bengal
71,Lesser Cuckoo,Cuculus poliocephalus,Low,Cuculiformes,Cuculidae (Cuckoos),Non-endemic,Forest,Least Concern,,West_Bengal
72,Indian Cuckoo,Cuculus micropterus,Low,Cuculiformes,Cuculidae (Cuckoos),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
73,Himalayan Cuckoo,Cuculus saturatus,Low,Cuculiformes,Cuculidae (Cuckoos),Non-endemic,Forest,Least Concern,,West_Bengal
74,Common Cuckoo,Cuculus canorus,Low,Cuculiformes,Cuculidae (Cuckoos),Non-endemic,Non-specialized,Least Concern,,West_Bengal
75,Himalayan Swiftlet,Aerodramus brevirostris,Moderate,Caprimulgiformes,Apodidae (Swifts),Non-endemic,Forest,Least Concern,,West_Bengal
76,Alpine Swift,Tachymarptis melba,Low,Caprimulgiformes,Apodidae (Swifts),Non-endemic,Forest,Least Concern,,West_Bengal
77,Blyth's Swift,Apus leuconyx,Moderate,Caprimulgiformes,Apodidae (Swifts),Non-endemic,Forest,Not Recognised,,West_Bengal
78,Little Swift,Apus affinis,Low,Caprimulgiformes,Apodidae (Swifts),Non-endemic,Non-specialized,Least Concern,,West_Bengal
79,Asian Palm Swift,Cypsiurus balasiensis,Low,Caprimulgiformes,Apodidae (Swifts),Non-endemic,Non-specialized,Least Concern,,West_Bengal
80,Crested Treeswift,Hemiprocne coronata,Moderate,Caprimulgiformes,Hemiprocnidae (Treeswifts),Non-endemic,Forest,Least Concern,,West_Bengal
81,Slaty-breasted Rail,Lewinia striata,Low,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",Non-endemic,Wetland,Least Concern,,West_Bengal
82,Common Moorhen,Gallinula chloropus,Low,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",Non-endemic,Wetland,Least Concern,,West_Bengal
83,Eurasian Coot,Fulica atra,Low,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",Non-endemic,Wetland,Least Concern,,West_Bengal
84,Grey-headed Swamphen,Porphyrio poliocephalus,Low,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",Non-endemic,Wetland,Not Recognised,,West_Bengal
85,Watercock,Gallicrex cinerea,Low,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",Non-endemic,Wetland,Least Concern,,West_Bengal
86,White-breasted Waterhen,Amaurornis phoenicurus,Low,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",Non-endemic,Non-specialized,Least Concern,,West_Bengal
87,Ruddy-breasted Crake,Zapornia fusca,Low,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",Non-endemic,Wetland,Least Concern,,West_Bengal
88,Brown Crake,Zapornia akool,Low,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",Non-endemic,Wetland,Least Concern,,West_Bengal
89,Baillon's Crake,Zapornia pusilla,Moderate,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",Non-endemic,Wetland,Least Concern,,West_Bengal
90,Black-tailed Crake,Zapornia bicolor,Moderate,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",Non-endemic,Wetland,Least Concern,,West_Bengal
91,Black-necked Crane,Grus nigricollis,Moderate,Gruiformes,Gruidae (Cranes),Non-endemic,Wetland,Near Threatened,Appendix I,West_Bengal
92,Indian Thick-knee,Burhinus indicus,Low,Charadriiformes,Burhinidae (Thick-knees),Non-endemic,Open Habitat,Least Concern,,West_Bengal
93,Great Thick-knee,Esacus recurvirostris,High,Charadriiformes,Burhinidae (Thick-knees),Non-endemic,Wetland,Near Threatened,,West_Bengal
94,Black-winged Stilt,Himantopus himantopus,Low,Charadriiformes,Recurvirostridae (Stilts and Avocets),Non-endemic,Wetland,Least Concern,,West_Bengal
95,Pied Avocet,Recurvirostra avosetta,High,Charadriiformes,Recurvirostridae (Stilts and Avocets),Non-endemic,Wetland,Least Concern,,West_Bengal
96,Ibisbill,Ibidorhyncha struthersii,Moderate,Charadriiformes,Ibidorhynchidae (Ibisbill),Non-endemic,Wetland,Least Concern,,West_Bengal
97,Grey Plover,Pluvialis squatarola,High,Charadriiformes,Charadriidae (Plovers and Lapwings),Non-endemic,Wetland,Least Concern,,West_Bengal
98,Pacific Golden Plover,Pluvialis fulva,Moderate,Charadriiformes,Charadriidae (Plovers and Lapwings),Non-endemic,Wetland,Least Concern,,West_Bengal
99,Northern Lapwing,Vanellus vanellus,Moderate,Charadriiformes,Charadriidae (Plovers and Lapwings),Non-endemic,Wetland,Near Threatened,,West_Bengal
100,River Lapwing,Vanellus duvaucelii,Low,Charadriiformes,Charadriidae (Plovers and Lapwings),Non-endemic,Wetland,Near Threatened,,West_Bengal
101,Yellow-wattled Lapwing,Vanellus malabaricus,Low,Charadriiformes,Charadriidae (Plovers and Lapwings),Indian Subcontinent,Open Habitat,Least Concern,,West_Bengal
102,Grey-headed Lapwing,Vanellus cinereus,Low,Charadriiformes,Charadriidae (Plovers and Lapwings),Non-endemic,Wetland,Least Concern,,West_Bengal
103,Red-wattled Lapwing,Vanellus indicus,Low,Charadriiformes,Charadriidae (Plovers and Lapwings),Non-endemic,Non-specialized,Least Concern,,West_Bengal
104,Lesser Sand Plover,Charadrius mongolus,High,Charadriiformes,Charadriidae (Plovers and Lapwings),Non-endemic,Wetland,Least Concern,,West_Bengal
105,Kentish Plover,Charadrius alexandrinus,High,Charadriiformes,Charadriidae (Plovers and Lapwings),Non-endemic,Wetland,Least Concern,,West_Bengal
106,Long-billed Plover,Charadrius placidus,Moderate,Charadriiformes,Charadriidae (Plovers and Lapwings),Non-endemic,Wetland,Least Concern,,West_Bengal
107,Little Ringed Plover,Charadrius dubius,High,Charadriiformes,Charadriidae (Plovers and Lapwings),Non-endemic,Open Habitat,Least Concern,,West_Bengal
108,Greater Painted-snipe,Rostratula benghalensis,Low,Charadriiformes,Rostratulidae (Painted-Snipes),Non-endemic,Wetland,Least Concern,,West_Bengal
109,Pheasant-tailed Jacana,Hydrophasianus chirurgus,Moderate,Charadriiformes,Jacanidae (Jacanas),Non-endemic,Wetland,Least Concern,,West_Bengal
110,Bronze-winged Jacana,Metopidius indicus,Low,Charadriiformes,Jacanidae (Jacanas),Non-endemic,Wetland,Least Concern,,West_Bengal
111,Whimbrel,Numenius phaeopus,Moderate,Charadriiformes,Scolopacidae (Sandpipers and Allies),Non-endemic,Wetland,Least Concern,,West_Bengal
112,Eurasian Curlew,Numenius arquata,High,Charadriiformes,Scolopacidae (Sandpipers and Allies),Non-endemic,Wetland,Near Threatened,,West_Bengal
113,Bar-tailed Godwit,Limosa lapponica,Moderate,Charadriiformes,Scolopacidae (Sandpipers and Allies),Non-endemic,Wetland,Near Threatened,,West_Bengal
114,Black-tailed Godwit,Limosa limosa,High,Charadriiformes,Scolopacidae (Sandpipers and Allies),Non-endemic,Wetland,Near Threatened,,West_Bengal
115,Ruddy Turnstone,Arenaria interpres,Moderate,Charadriiformes,Scolopacidae (Sandpipers and Allies),Non-endemic,Wetland,Least Concern,,West_Bengal
116,Great Knot,Calidris tenuirostris,High,Charadriiformes,Scolopacidae (Sandpipers and Allies),Non-endemic,Wetland,Endangered,,West_Bengal
117,Ruff,Calidris pugnax,High,Charadriiformes,Scolopacidae (Sandpipers and Allies),Non-endemic,Wetland,Least Concern,,West_Bengal
118,Broad-billed Sandpiper,Calidris falcinellus,Moderate,Charadriiformes,Scolopacidae (Sandpipers and Allies),Non-endemic,Wetland,Least Concern,,West_Bengal
119,Curlew Sandpiper,Calidris ferruginea,High,Charadriiformes,Scolopacidae (Sandpipers and Allies),Non-endemic,Wetland,Near Threatened,,West_Bengal
120,Temminck's Stint,Calidris temminckii,Moderate,Charadriiformes,Scolopacidae (Sandpipers and Allies),Non-endemic,Wetland,Least Concern,,West_Bengal
121,Sanderling,Calidris alba,High,Charadriiformes,Scolopacidae (Sandpipers and Allies),Non-endemic,Wetland,Least Concern,,West_Bengal
122,Dunlin,Calidris alpina,High,Charadriiformes,Scolopacidae (Sandpipers and Allies),Non-endemic,Wetland,Least Concern,,West_Bengal
123,Little Stint,Calidris minuta,High,Charadriiformes,Scolopacidae (Sandpipers and Allies),Non-endemic,Wetland,Least Concern,,West_Bengal
124,Common Snipe,Gallinago gallinago,Low,Charadriiformes,Scolopacidae (Sandpipers and Allies),Non-endemic,Wetland,Least Concern,,West_Bengal
125,Pintail Snipe,Gallinago stenura,High,Charadriiformes,Scolopacidae (Sandpipers and Allies),Non-endemic,Wetland,Least Concern,,West_Bengal
126,Terek Sandpiper,Xenus cinereus,High,Charadriiformes,Scolopacidae (Sandpipers and Allies),Non-endemic,Wetland,Least Concern,,West_Bengal
127,Common Sandpiper,Actitis hypoleucos,Moderate,Charadriiformes,Scolopacidae (Sandpipers and Allies),Non-endemic,Wetland,Least Concern,,West_Bengal
128,Green Sandpiper,Tringa ochropus,Low,Charadriiformes,Scolopacidae (Sandpipers and Allies),Non-endemic,Wetland,Least Concern,,West_Bengal
129,Spotted Redshank,Tringa erythropus,High,Charadriiformes,Scolopacidae (Sandpipers and Allies),Non-endemic,Wetland,Least Concern,,West_Bengal
130,Common Greenshank,Tringa nebularia,High,Charadriiformes,Scolopacidae (Sandpipers and Allies),Non-endemic,Wetland,Least Concern,,West_Bengal
131,Marsh Sandpiper,Tringa stagnatilis,High,Charadriiformes,Scolopacidae (Sandpipers and Allies),Non-endemic,Wetland,Least Concern,,West_Bengal
132,Wood Sandpiper,Tringa glareola,Moderate,Charadriiformes,Scolopacidae (Sandpipers and Allies),Non-endemic,Wetland,Least Concern,,West_Bengal
133,Common Redshank,Tringa totanus,High,Charadriiformes,Scolopacidae (Sandpipers and Allies),Non-endemic,Wetland,Least Concern,,West_Bengal
134,Yellow-legged Buttonquail,Turnix tanki,Moderate,Charadriiformes,Turnicidae (Buttonquail),Non-endemic,Non-specialized,Least Concern,,West_Bengal
135,Barred Buttonquail,Turnix suscitator,Low,Charadriiformes,Turnicidae (Buttonquail),Non-endemic,Grassland & Scrub,Least Concern,,West_Bengal
136,Indian Courser,Cursorius coromandelicus,High,Charadriiformes,Glareolidae (Pratincoles and Coursers),Indian Subcontinent,Grassland,Least Concern,,West_Bengal
137,Oriental Pratincole,Glareola maldivarum,Low,Charadriiformes,Glareolidae (Pratincoles and Coursers),Non-endemic,Wetland,Least Concern,,West_Bengal
138,Small Pratincole,Glareola lactea,Moderate,Charadriiformes,Glareolidae (Pratincoles and Coursers),Non-endemic,Wetland,Least Concern,,West_Bengal
139,Slender-billed Gull,Chroicocephalus genei,High,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Non-endemic,Wetland,Least Concern,,West_Bengal
140,Black-headed Gull,Chroicocephalus ridibundus,High,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Non-endemic,Wetland,Least Concern,,West_Bengal
141,Brown-headed Gull,Chroicocephalus brunnicephalus,High,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Non-endemic,Wetland,Least Concern,,West_Bengal
142,Pallas's Gull,Ichthyaetus ichthyaetus,Moderate,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Non-endemic,Wetland,Least Concern,,West_Bengal
143,Lesser Black-backed Gull,Larus fuscus,Moderate,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Non-endemic,Wetland,Least Concern,,West_Bengal
144,Little Tern,Sternula albifrons,High,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Non-endemic,Wetland,Least Concern,,West_Bengal
145,Gull-billed Tern,Gelochelidon nilotica,High,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Non-endemic,Wetland,Least Concern,,West_Bengal
146,Caspian Tern,Hydroprogne caspia,High,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Non-endemic,Wetland,Least Concern,,West_Bengal
147,Whiskered Tern,Chlidonias hybrida,High,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Non-endemic,Wetland,Least Concern,,West_Bengal
148,Common Tern,Sterna hirundo,High,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Non-endemic,Wetland,Least Concern,,West_Bengal
149,Black-bellied Tern,Sterna acuticauda,High,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Non-endemic,Wetland,Endangered,,West_Bengal
150,River Tern,Sterna aurantia,Moderate,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Non-endemic,Wetland,Vulnerable,,West_Bengal
151,Greater Crested Tern,Thalasseus bergii,Low,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Non-endemic,Wetland,Least Concern,,West_Bengal
152,Sandwich Tern,Thalasseus sandvicensis,High,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Non-endemic,Wetland,Least Concern,,West_Bengal
153,Lesser Crested Tern,Thalasseus bengalensis,Moderate,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Non-endemic,Wetland,Least Concern,,West_Bengal
154,Indian Skimmer,Rynchops albicollis,High,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Non-endemic,Wetland,Endangered,,West_Bengal
155,Asian Openbill,Anastomus oscitans,Low,Ciconiiformes,Ciconiidae (Storks),Non-endemic,Wetland,Least Concern,,West_Bengal
156,Black Stork,Ciconia nigra,Moderate,Ciconiiformes,Ciconiidae (Storks),Non-endemic,Wetland,Least Concern,Appendix II,West_Bengal
157,Woolly-necked Stork,Ciconia episcopus,Moderate,Ciconiiformes,Ciconiidae (Storks),Non-endemic,Open Habitat,Near Threatened,,West_Bengal
158,Black-necked Stork,Ephippiorhynchus asiaticus,Moderate,Ciconiiformes,Ciconiidae (Storks),Non-endemic,Wetland,Near Threatened,,West_Bengal
159,Lesser Adjutant,Leptoptilos javanicus,Moderate,Ciconiiformes,Ciconiidae (Storks),Non-endemic,Wetland,Vulnerable,,West_Bengal
160,Greater Adjutant,Leptoptilos dubius,High,Ciconiiformes,Ciconiidae (Storks),Non-endemic,Open Habitat,Endangered,,West_Bengal
161,Painted Stork,Mycteria leucocephala,Low,Ciconiiformes,Ciconiidae (Storks),Non-endemic,Wetland,Near Threatened,Appendix I,West_Bengal
162,Oriental Darter,Anhinga melanogaster,Low,Suliformes,Anhingidae (Anhingas),Non-endemic,Wetland,Near Threatened,,West_Bengal
163,Little Cormorant,Microcarbo niger,Low,Suliformes,Phalacrocoracidae (Cormorants and Shags),Non-endemic,Wetland,Least Concern,,West_Bengal
164,Great Cormorant,Phalacrocorax carbo,Low,Suliformes,Phalacrocoracidae (Cormorants and Shags),Non-endemic,Wetland,Least Concern,,West_Bengal
165,Indian Cormorant,Phalacrocorax fuscicollis,Low,Suliformes,Phalacrocoracidae (Cormorants and Shags),Non-endemic,Wetland,Least Concern,,West_Bengal
166,Spot-billed Pelican,Pelecanus philippensis,Moderate,Pelecaniformes,Pelecanidae (Pelicans),Non-endemic,Wetland,Near Threatened,,West_Bengal
167,Yellow Bittern,Ixobrychus sinensis,Low,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Non-endemic,Wetland,Least Concern,,West_Bengal
168,Cinnamon Bittern,Ixobrychus cinnamomeus,Low,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Non-endemic,Wetland,Least Concern,,West_Bengal
169,Black Bittern,Ixobrychus flavicollis,Low,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Non-endemic,Wetland,Least Concern,,West_Bengal
170,Grey Heron,Ardea cinerea,Low,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Non-endemic,Wetland,Least Concern,,West_Bengal
171,Goliath Heron,Ardea goliath,Low,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Non-endemic,Wetland,Least Concern,,West_Bengal
172,Purple Heron,Ardea purpurea,Low,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Non-endemic,Wetland,Least Concern,,West_Bengal
173,Great Egret,Ardea alba,Low,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Non-endemic,Wetland,Least Concern,,West_Bengal
174,Intermediate Egret,Ardea intermedia,Low,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Non-endemic,Wetland,Least Concern,,West_Bengal
175,Little Egret,Egretta garzetta,Low,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Non-endemic,Wetland,Least Concern,,West_Bengal
